
Dorado	9	1131	1064	13.8	1.4	81.9	8.7	77.0	8.2
GRM15	7	4530	4848	47.4	4.7	95.6	10.0	102.2	10.7
HydraI	20	4061	3881	49.1	4.7	82.8	8.4	79.1	8.0
AbellS753	16	4351	3973	49.7	4.2	87.5	7.9	79.9	7.2
Abell3574	7	4749	4617	51.6	5.3	92.0	10.0	89.5	9.7
Abell194	25	5100	5208	55.9	4.3	91.3	7.5	93.2	7.6
AbellS639	12	6533	6577	59.6	5.1	109.7	9.9	110.4	10.0
Coma	81	7143	7392	85.8	5.9	83.2	6.0	86.1	6.2
Abell539	25	8792	8648	102.0	7.4	86.2	6.5	84.7	6.4
DC234528	30	8500	8708	102.1	7.4	83.2	6.4	85.2	6.5
Abell3381	14	11536	11436	129.8	11.5	88.9	8.3	88.1	8.2
