
SN 1990O	9065	134.7	67.3	2.3
SN 1990T	12012	158.9	75.6	3.1
SN 1990af	15055	198.6	75.8	2.8
SN 1991S	16687	238.9	69.8	2.8
SN 1991U	9801	117.1	83.7	3.4
SN 1991ag	4124	56.0	73.7	2.9
SN 1992J	13707	183.9	74.5	3.1
SN 1992P	7880	121.5	64.8	2.2
SN 1992ae	22426	274.6	81.6	3.4
SN 1992ag	7765	102.1	76.1	2.7
SN 1992al	4227	58.0	72.8	2.4
SN 1992aq	30253	467.0	64.7	2.4
SN 1992au	18212	262.2	69.4	2.9
SN 1992bc	5935	88.6	67.0	2.1
SN 1992bg	10696	151.4	70.6	2.4
SN 1992bh	13518	202.5	66.7	2.3
SN 1992bk	17371	235.9	73.6	2.6
SN 1992bl	12871	176.8	72.7	2.6
SN 1992bo	5434	77.9	69.7	2.4
SN 1992bp	23646	309.5	76.3	2.6
SN 1992br	26318	391.5	67.2	3.1
SN 1992bs	18997	280.1	67.8	2.8
SN 1993B	21190	303.4	69.8	2.4
SN 1993O	15567	236.1	65.9	2.1
SN 1993ag	15002	215.4	69.6	2.4
SN 1993ah	8604	119.7	71.9	2.9
SN 1993ac	14764	202.3	72.9	2.7
SN 1993ae	5424	71.8	75.6	3.1
SN 1994M	7241	96.7	74.9	2.6
SN 1994Q	8691	127.8	68.0	2.7
SN 1994S	4847	66.8	72.5	2.5
SN 1994T	10715	149.9	71.5	2.6
SN 1995ac	14634	185.6	78.8	2.7
SN 1995ak	6673	82.4	80.9	2.8
SN 1996C	9024	136.0	66.3	2.5
SN 1996bl	10446	132.7	78.7	2.7
